age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
52,Private,143933,9th,5,Never-married,Machine-op-inspct,Other-relative,White,Male,-2,-1,40,Mexico,<=50K
18,Private,208918,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,34,0,61,United-States,<=50K
37,Private,248884,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,21,1,40,United-States,<=50K
48,Private,129919,11th,7,Never-married,Machine-op-inspct,Own-child,Other,Male,0,1,26,Mexico,<=50K
47,Private,217876,Bachelors,10,Never-married,Sales,Not-in-family,White,Male,19,0,44,Guatemala,<=50K
19,Private,148135,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,23,1,7,United-States,<=50K
18,Self-emp-not-inc,112505,Some-college,10,Widowed,Armed-Forces,Not-in-family,White,Male,-6,-1,40,El-Salvador,<=50K
49,Private,237142,Bachelors,13,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,-7,2,36,Scotland,<=50K
54,Private,62750,Some-college,10,Married-civ-spouse,Protective-serv,Husband,Amer-Indian-Eskimo,Male,14,1,59,United-States,>50K
43,Private,312288,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,Black,Female,43,0,46,United-States,<=50K
20,Private,194785,10th,3,Never-married,Sales,Own-child,Other,Male,-22,0,11,Germany,<=50K
34,Private,229625,Preschool,3,Never-married,Adm-clerical,Unmarried,Asian-Pac-Islander,Male,16,0,45,Haiti,<=50K
39,Private,160167,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,3951,0,44,United-States,<=50K
50,Self-emp-not-inc,152555,Preschool,10,Divorced,Exec-managerial,Not-in-family,White,Male,0,1,12,Canada,<=50K
35,Local-gov,93945,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,-6,0,56,United-States,>50K
39,Private,215528,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,19,-2,40,?,>50K
55,Private,148704,Assoc-voc,3,Married-civ-spouse,?,Unmarried,White,Male,9,0,35,Jamaica,>50K
37,Private,159499,HS-grad,9,Never-married,Exec-managerial,Other-relative,White,Female,-19,0,40,United-States,<=50K
47,Private,36658,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,-10,-1,40,United-States,>50K
54,Private,258080,Some-college,10,Married-civ-spouse,Other-service,Wife,Black,Male,9,0,40,Philippines,>50K
63,Private,28944,HS-grad,9,Separated,Exec-managerial,Not-in-family,White,Female,19,-1,40,United-States,<=50K
70,Self-emp-not-inc,243428,Assoc-acdm,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,14,0,60,United-States,>50K
52,Private,175777,10th,6,Married-civ-spouse,Prof-specialty,Husband,White,Male,-25,1,57,United-States,<=50K
30,State-gov,121486,Masters,13,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,-5,0,9,United-States,<=50K
45,Without-pay,82409,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,5,0,40,England,>50K
37,Self-emp-not-inc,323518,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,29,0,57,United-States,>50K
39,Self-emp-not-inc,40915,Assoc-acdm,6,Married-civ-spouse,Tech-support,Husband,White,Male,8,0,59,United-States,>50K
52,Federal-gov,342814,Prof-school,15,Married-civ-spouse,Adm-clerical,Husband,White,Male,25,-1,58,United-States,>50K
38,Self-emp-not-inc,112508,Doctorate,16,Widowed,Prof-specialty,Husband,White,Male,6,0,50,India,>50K
28,Private,93243,Assoc-voc,11,Never-married,Tech-support,Not-in-family,White,Female,-10,0,40,United-States,<=50K
33,Local-gov,190073,Masters,14,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,0,0,57,?,>50K
26,Private,210881,Some-college,9,Married-civ-spouse,Other-service,Not-in-family,White,Female,-7,0,40,Vietnam,<=50K
29,Private,36214,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,23,1,40,United-States,<=50K
44,Private,109198,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,-8,0,10,United-States,<=50K
38,Private,143257,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,-4,-1,37,United-States,>50K
35,State-gov,426974,10th,6,Never-married,Other-service,Not-in-family,White,Female,-27,0,21,United-States,<=50K
32,Private,138582,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Female,-20,-2,30,United-States,<=50K
40,Private,192736,Some-college,10,Married-civ-spouse,Transport-moving,Other-relative,Black,Male,-9,0,40,Vietnam,<=50K
66,Self-emp-inc,118376,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,1,1,50,United-States,>50K
50,Self-emp-inc,162443,Prof-school,13,Married-civ-spouse,?,Husband,White,Male,-14,-1,40,United-States,>50K
34,Local-gov,183543,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,-18,0,35,United-States,>50K
36,Local-gov,196442,Prof-school,14,Married-civ-spouse,Prof-specialty,Husband,Black,Male,23,1,44,United-States,>50K
25,Private,186061,11th,7,Never-married,Other-service,Husband,Other,Female,-30,1,19,Mexico,<=50K
53,Federal-gov,391789,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,-16,0,30,United-States,>50K
36,Private,150157,HS-grad,9,Never-married,Sales,Own-child,Black,Male,-17,-1,40,Nicaragua,<=50K
45,Private,330012,HS-grad,9,Divorced,Sales,Unmarried,White,Female,17,0,40,United-States,<=50K
56,Private,179141,1st-4th,2,Widowed,Other-service,Other-relative,White,Male,4,-1,10,Mexico,<=50K
34,Self-emp-inc,141233,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Male,16,1,57,United-States,>50K
54,Private,295745,Assoc-acdm,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,14,0,40,United-States,<=50K
38,Local-gov,213094,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,4,-1,58,United-States,<=50K
47,Self-emp-not-inc,38605,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,-15,1958,55,United-States,>50K
18,Private,331458,11th,1,Never-married,Protective-serv,Own-child,White,Male,24,-1,44,United-States,<=50K
37,Self-emp-inc,169767,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,4,0,40,United-States,<=50K
21,Private,110182,HS-grad,9,Never-married,Sales,Own-child,White,Male,16,0,40,United-States,<=50K
37,Local-gov,126878,Assoc-acdm,10,Separated,Adm-clerical,Unmarried,Black,Female,10,0,23,United-States,>50K
21,Private,420818,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,3,0,45,?,<=50K
24,Self-emp-not-inc,223165,Some-college,10,Widowed,Prof-specialty,Not-in-family,White,Female,22,0,44,United-States,<=50K
40,Self-emp-not-inc,156331,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,30,-1,49,?,>50K
32,Private,95807,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Female,-4,1,40,United-States,<=50K
40,Private,160499,Some-college,1,Divorced,Adm-clerical,Not-in-family,White,Male,15,1,61,United-States,<=50K
62,Private,148367,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,-6,0,13,Mexico,<=50K
52,?,171177,7th-8th,6,Married-civ-spouse,?,Not-in-family,White,Male,39,0,8,Guatemala,<=50K
38,?,103807,Some-college,10,Widowed,?,Husband,Black,Male,-5,0,40,United-States,<=50K
54,?,183697,HS-grad,9,Widowed,?,Husband,White,Male,-14,-1,5,United-States,<=50K
18,Private,377909,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,3,-1,22,United-States,<=50K
33,?,133102,HS-grad,9,Widowed,?,Not-in-family,White,Female,15,-1,49,Mexico,<=50K
62,?,188690,1st-4th,2,Married-civ-spouse,?,Husband,White,Male,-15,0,18,Mexico,<=50K
44,Private,464667,5th-6th,3,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,13,1,40,China,<=50K
44,Self-emp-inc,282087,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,28,2,45,United-States,>50K
52,Private,37770,Preschool,9,Widowed,Exec-managerial,Not-in-family,White,Female,-2,0,43,Canada,<=50K
51,Private,192937,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,-2,0,40,Mexico,<=50K
21,Private,87199,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,26,-1,40,United-States,>50K
38,Self-emp-not-inc,317536,Some-college,10,Divorced,Prof-specialty,Not-in-family,White,Female,4187,-1,45,United-States,<=50K
52,Self-emp-not-inc,88069,5th-6th,4,Married-civ-spouse,Adm-clerical,Husband,White,Male,11,-1,40,United-States,>50K
26,Local-gov,158676,Some-college,10,Divorced,Craft-repair,Husband,Black,Male,10,0,49,United-States,<=50K
28,Private,469338,11th,7,Never-married,Other-service,Other-relative,Asian-Pac-Islander,Male,16,0,40,Nicaragua,<=50K
40,Private,41774,Assoc-voc,14,Divorced,Prof-specialty,Not-in-family,White,Male,-3,0,61,United-States,<=50K
28,Federal-gov,109686,Bachelors,9,Never-married,Adm-clerical,Not-in-family,White,Male,-30,0,50,United-States,<=50K
46,Local-gov,113426,HS-grad,9,Separated,Exec-managerial,Not-in-family,Black,Male,-3,0,40,United-States,>50K
43,Local-gov,186588,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,5,0,57,United-States,>50K
47,Local-gov,203111,Assoc-acdm,11,Never-married,Tech-support,Not-in-family,White,Female,-49,0,23,United-States,<=50K
36,Private,164802,Some-college,10,Never-married,Sales,Not-in-family,White,Male,28,-2,57,United-States,<=50K
32,Self-emp-inc,185484,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,18,-1,44,Taiwan,<=50K
30,Private,106650,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,16,0,40,United-States,<=50K
30,State-gov,95289,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,-43,0,40,United-States,<=50K
23,Private,173240,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,17,-2,40,United-States,<=50K
47,Self-emp-inc,120243,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,31,1,45,United-States,>50K
17,Private,176312,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,16,-1,40,United-States,<=50K
50,Private,182826,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,0,60,United-States,>50K
46,Private,195475,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,36,0,57,United-States,>50K
33,Self-emp-not-inc,136189,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,37,1,62,United-States,>50K
33,Private,311967,HS-grad,9,Never-married,Handlers-cleaners,Husband,White,Male,-26,-1,40,United-States,<=50K
57,Federal-gov,178474,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,-13,1,40,China,>50K
40,Self-emp-not-inc,170956,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,24,0,50,United-States,>50K
52,Private,189518,Preschool,14,Never-married,Exec-managerial,Wife,Asian-Pac-Islander,Female,8,0,40,Cuba,>50K
67,?,118097,7th-8th,6,Married-civ-spouse,?,Husband,White,Male,29,-2,11,United-States,<=50K
49,Private,269366,9th,5,Married-civ-spouse,Farming-fishing,Not-in-family,White,Male,14,0,31,Jamaica,<=50K
46,Private,177557,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,30,0,40,United-States,<=50K
42,Private,166482,HS-grad,9,Never-married,Exec-managerial,Own-child,White,Male,-8,-1,40,United-States,<=50K
16,Private,122208,Bachelors,13,Never-married,Other-service,Other-relative,Asian-Pac-Islander,Male,-16,0,40,El-Salvador,<=50K
49,Local-gov,211193,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,33,0,36,United-States,>50K
24,Private,39892,HS-grad,9,Never-married,Transport-moving,Own-child,Amer-Indian-Eskimo,Male,-8,0,40,United-States,<=50K
17,Private,130848,11th,7,Never-married,Other-service,Own-child,White,Male,-14,1,23,United-States,<=50K
71,Private,101137,Assoc-acdm,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,-9,0,40,Mexico,<=50K
41,Self-emp-not-inc,40428,Some-college,10,Divorced,Protective-serv,Husband,White,Male,19,-2,30,United-States,>50K
39,Local-gov,446396,Some-college,10,Separated,Exec-managerial,Unmarried,White,Female,-5,0,31,United-States,>50K
18,Private,37025,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,-16,0,4,United-States,<=50K
18,Private,133821,HS-grad,11,Separated,Other-service,Own-child,Black,Female,-4,1,14,Japan,<=50K
24,Private,78909,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,16,0,43,United-States,<=50K
28,Private,214464,10th,13,Married-civ-spouse,?,Not-in-family,White,Male,-28,0,50,United-States,<=50K
25,Self-emp-not-inc,35089,HS-grad,9,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,-6,-1,40,United-States,<=50K
36,Private,228826,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,2550,-1,40,United-States,<=50K
40,Self-emp-not-inc,51573,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,7,-1,36,United-States,<=50K
65,Private,302988,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,33,0,44,United-States,>50K
25,Self-emp-inc,17427,10th,10,Married-civ-spouse,Transport-moving,Husband,White,Male,24,0,40,United-States,<=50K
29,?,44462,Some-college,10,Never-married,?,Own-child,White,Male,-41,0,30,United-States,<=50K
50,Private,191635,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,-19,-1,40,United-States,>50K
51,Self-emp-not-inc,131050,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Female,-17,1,40,United-States,>50K
28,Private,128017,Some-college,10,Never-married,Adm-clerical,Unmarried,White,Female,5,1,30,United-States,<=50K
44,Private,206990,HS-grad,9,Separated,Other-service,Unmarried,White,Female,-15,-1,40,United-States,<=50K
28,Local-gov,234344,Assoc-voc,11,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,-10,0,55,United-States,<=50K
41,Private,473953,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,-7,-1,50,United-States,>50K
18,?,99551,11th,6,Never-married,?,Own-child,White,Female,-17,0,30,United-States,<=50K
62,Private,179212,Assoc-acdm,14,Widowed,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,8,0,40,Vietnam,>50K
49,Private,310570,Assoc-voc,15,Married-civ-spouse,Farming-fishing,Husband,White,Male,1,1,40,United-States,>50K
28,Federal-gov,185278,Some-college,10,Married-spouse-absent,Machine-op-inspct,Wife,White,Male,8,0,40,United-States,<=50K
17,Private,360561,11th,5,Never-married,Tech-support,Own-child,White,Male,-32,0,46,England,<=50K
38,Private,203680,5th-6th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,-11,0,7,United-States,<=50K
46,Self-emp-not-inc,220782,Bachelors,13,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,4,0,40,?,<=50K
37,Private,142981,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,7,-1,44,United-States,>50K
65,?,290494,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,11,0,49,United-States,>50K
32,Private,186184,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,18,-1,40,United-States,>50K
37,Private,153285,HS-grad,10,Separated,Machine-op-inspct,Not-in-family,Amer-Indian-Eskimo,Female,2732,1,40,United-States,<=50K
42,Private,200382,5th-6th,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,10,1,50,Puerto-Rico,<=50K
32,Federal-gov,179555,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Male,4,-1,40,United-States,>50K
20,Self-emp-inc,42950,Bachelors,13,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,-1,0,34,United-States,>50K
41,Private,234468,HS-grad,9,Divorced,Adm-clerical,Wife,White,Male,3091,-1,40,United-States,>50K
55,?,242809,7th-8th,4,Married-civ-spouse,?,Husband,White,Male,-33,1,40,United-States,<=50K
50,Self-emp-not-inc,75828,Assoc-voc,11,Separated,Transport-moving,Not-in-family,White,Male,-16,-1,49,United-States,<=50K
39,Private,306050,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,23,-1,30,United-States,<=50K
19,State-gov,143708,Some-college,10,Never-married,Sales,Own-child,White,Male,-7,0,30,United-States,<=50K
17,Private,306708,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,-9,0,21,United-States,<=50K
58,?,254221,HS-grad,9,Married-civ-spouse,Tech-support,Husband,Amer-Indian-Eskimo,Male,7692,0,59,United-States,<=50K
37,Private,231831,Some-college,3,Never-married,Prof-specialty,Husband,White,Male,5,0,49,Taiwan,<=50K
47,Private,89359,5th-6th,5,Separated,Sales,Other-relative,White,Male,8,0,40,?,<=50K
48,Federal-gov,120985,Some-college,10,Never-married,Tech-support,Unmarried,White,Male,-10,-1,40,United-States,<=50K
49,Local-gov,114498,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,13,1,40,United-States,>50K
24,Private,95054,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,Black,Female,-4,-2,40,United-States,<=50K
18,Private,239496,HS-grad,9,Never-married,Adm-clerical,Own-child,Other,Male,7,0,20,Thailand,<=50K
74,?,39460,HS-grad,9,Divorced,?,Not-in-family,Black,Male,-13,0,11,United-States,<=50K
29,Private,185755,HS-grad,9,Married-AF-spouse,Exec-managerial,Other-relative,White,Male,3846,0,40,United-States,<=50K
23,Private,104825,HS-grad,9,Never-married,Other-service,Own-child,Black,Male,3,1,49,United-States,<=50K
58,Private,31444,HS-grad,9,Never-married,Adm-clerical,Unmarried,Black,Male,29,0,21,United-States,<=50K
41,Private,72308,Some-college,10,Never-married,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,6,1,19,United-States,<=50K
34,Self-emp-inc,133025,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,7962,1,49,United-States,>50K
47,Private,38124,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Male,-6,-3,40,United-States,<=50K
27,Private,166356,Some-college,10,Married-civ-spouse,Transport-moving,Husband,Black,Male,24,2,40,United-States,>50K
33,Private,139689,HS-grad,9,Married-spouse-absent,Adm-clerical,Not-in-family,White,Female,-19,-1,20,United-States,<=50K
29,Private,280127,HS-grad,9,Married-spouse-absent,Tech-support,Not-in-family,White,Female,20,0,40,United-States,<=50K
42,State-gov,181092,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,-21,1,40,United-States,<=50K
26,State-gov,135707,Masters,14,Divorced,Other-service,Unmarried,White,Female,-3,2,11,United-States,<=50K
60,Self-emp-inc,154595,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,33,-2,55,United-States,>50K
40,Local-gov,183612,Bachelors,11,Never-married,Prof-specialty,Wife,White,Female,-16,1,30,United-States,>50K
43,Federal-gov,200734,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,37,-1,40,India,>50K
24,Private,208560,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,18,1,31,United-States,<=50K
31,Private,218753,Bachelors,9,Never-married,Protective-serv,Not-in-family,White,Female,26,0,20,Poland,<=50K
40,Local-gov,50472,Assoc-acdm,9,Widowed,Exec-managerial,Unmarried,Black,Female,-8,1,21,United-States,<=50K
24,?,209173,Some-college,10,Married-civ-spouse,?,Husband,White,Male,4,1,40,Mexico,<=50K
34,Private,321443,Some-college,12,Separated,Exec-managerial,Unmarried,Black,Female,-8,0,40,?,<=50K
18,Private,344421,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,-11,-1,19,United-States,<=50K
31,Private,467870,5th-6th,6,Married-civ-spouse,Other-service,Husband,White,Female,21,0,18,Taiwan,<=50K
32,Private,166593,Some-college,10,Never-married,Adm-clerical,Other-relative,White,Male,-21,0,30,United-States,<=50K
40,Self-emp-not-inc,172590,7th-8th,4,Never-married,Protective-serv,Husband,White,Male,-10,-1,21,Mexico,<=50K
30,Private,152053,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,26,-1,40,Thailand,<=50K
53,?,36857,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Female,43,0,40,United-States,>50K
81,Private,220215,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,-8,0,40,United-States,<=50K
37,Private,447757,Masters,6,Divorced,Farming-fishing,Not-in-family,White,Male,-7,1,44,Canada,<=50K
32,State-gov,162631,7th-8th,11,Never-married,Prof-specialty,Not-in-family,White,Male,-30,0,30,United-States,<=50K
48,Self-emp-inc,466080,Assoc-acdm,6,Never-married,Farming-fishing,Husband,White,Female,1,0,89,United-States,<=50K
35,Private,324066,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,5,-1,40,United-States,>50K
23,Private,149927,9th,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,9,-2,40,England,<=50K
61,Private,101343,7th-8th,16,Married-civ-spouse,?,Husband,White,Male,23,0,40,United-States,>50K
32,Private,179603,11th,9,Never-married,Machine-op-inspct,Own-child,White,Male,16,0,21,Portugal,<=50K
51,Self-emp-not-inc,175353,Some-college,10,Widowed,Other-service,Not-in-family,Black,Male,-4,-1,40,United-States,<=50K
48,Private,237840,Some-college,9,Married-civ-spouse,Sales,Other-relative,White,Male,0,0,40,United-States,>50K
38,Self-emp-not-inc,359209,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,26,-1,36,United-States,<=50K
46,?,150634,Doctorate,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,13,1,43,United-States,>50K
21,Private,243153,11th,7,Never-married,Machine-op-inspct,Own-child,White,Male,32,0,8,United-States,<=50K
40,Private,116824,Masters,12,Never-married,Exec-managerial,Not-in-family,White,Female,25,0,40,Germany,<=50K
48,Local-gov,208984,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,5,1,40,Taiwan,>50K
38,Self-emp-not-inc,212842,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,27,0,40,United-States,<=50K
16,Private,230335,10th,10,Never-married,Other-service,Not-in-family,White,Male,-1,0,30,United-States,<=50K
37,Federal-gov,406690,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,-10,0,63,United-States,>50K
20,Private,90884,HS-grad,9,Never-married,Adm-clerical,Other-relative,White,Female,-21,0,40,United-States,<=50K
40,Private,141551,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,-1,40,United-States,>50K
17,Private,195603,10th,6,Never-married,Farming-fishing,Unmarried,Black,Male,-10,-1,21,United-States,<=50K
56,Local-gov,120657,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,37,-1,40,United-States,>50K
53,Private,281496,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Female,14,0,45,United-States,>50K
57,Private,465902,5th-6th,3,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,8,0,40,Japan,<=50K
40,Private,183117,Bachelors,14,Divorced,Prof-specialty,Not-in-family,White,Male,32,1,40,United-States,<=50K
46,Private,156340,Assoc-acdm,11,Married-civ-spouse,Sales,Husband,White,Male,23,0,40,United-States,>50K
31,Private,381284,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,1,-2,40,United-States,<=50K
56,Private,163787,5th-6th,8,Married-civ-spouse,Prof-specialty,Own-child,Other,Female,-10,0,40,Germany,<=50K
30,Self-emp-not-inc,110934,Prof-school,15,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,-19,0,40,Taiwan,<=50K
43,Private,89704,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,-14,1,40,United-States,<=50K
56,?,347441,1st-4th,2,Divorced,?,Other-relative,Black,Female,20,0,23,Mexico,<=50K
48,Local-gov,88501,Assoc-voc,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,14818,0,40,United-States,>50K
